begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2016-06-20,113.780000,112.080000,115.214200,111.000000,111618013,reg,False,FB
2016-06-27,111.510000,114.190000,115.180000,108.230000,122364460,reg,False,FB
2016-07-04,113.940000,117.240000,117.500000,112.970000,73317421,reg,False,FB
2016-07-11,117.710000,116.860000,118.720000,116.580000,80362632,reg,False,FB
2016-07-18,117.340000,121.000000,122.200000,116.890000,98680184,reg,False,FB
2016-07-25,121.460000,123.940000,128.330000,117.780000,202768213,reg,False,FB
2016-08-01,123.850000,125.150000,125.835000,122.070000,108750605,reg,False,FB
2016-08-08,125.250000,124.880000,126.090000,124.180000,69413518,reg,False,FB
2016-08-15,124.910000,123.560000,124.920000,122.780000,71400800,reg,False,FB
2016-08-22,123.340000,124.960000,125.190000,123.090000,68175168,reg,False,FB
2016-08-29,124.880000,126.510000,126.860000,124.350000,73585720,reg,False,FB
2016-09-05,126.740000,127.100000,131.980000,126.470000,97046477,reg,False,FB
2016-09-12,125.980000,129.070000,129.180000,125.750000,94220304,reg,False,FB
2016-09-19,129.910000,127.960000,130.730000,127.300000,83975511,reg,False,FB
2016-09-26,127.420000,128.270000,129.470000,126.800000,75684873,reg,False,FB
2016-10-03,128.410000,128.990000,129.276500,127.549900,64338393,reg,False,FB
2016-10-10,129.690000,127.880000,130.700000,126.750000,74234237,reg,False,FB
2016-10-17,128.200000,132.070000,132.130000,127.320000,73864266,reg,False,FB
2016-10-24,132.790000,131.290000,133.500000,129.270000,85178685,reg,False,FB
2016-10-31,132.010000,120.750000,132.120000,119.250000,182248711,reg,False,FB
2016-11-07,123.150000,119.020000,124.610000,115.270000,175072509,reg,False,FB
2016-11-14,119.000000,117.020000,119.130000,113.553500,159933425,reg,False,FB
2016-11-21,118.200000,120.380000,122.980000,117.800000,85835270,reg,False,FB
2016-11-28,120.010000,115.400000,122.100000,114.000000,135528550,reg,False,FB
2016-12-05,115.950000,119.680000,119.940000,115.070000,101153880,reg,False,FB
2016-12-12,119.200000,119.870000,122.500000,117.610000,118950517,reg,False,FB
2016-12-19,119.850000,117.270000,120.360000,116.300000,67518766,reg,False,FB
2016-12-26,117.110000,115.050000,118.680000,114.773900,52757837,reg,False,FB
2017-01-02,115.960000,123.410000,123.880000,115.510000,88332257,reg,False,FB
2017-01-09,123.550000,128.340000,129.270000,123.040000,102099712,reg,False,FB
2017-01-16,128.040000,127.040000,128.480000,126.780000,59733000,reg,False,FB
2017-01-23,127.310000,132.180000,133.140000,126.950000,90093256,reg,False,FB
2017-01-30,131.480000,130.980000,135.490000,129.515700,168057691,reg,False,FB
2017-02-06,130.980000,134.190000,134.940000,130.300000,85578047,reg,False,FB
2017-02-13,134.580000,133.530000,134.697500,132.550000,66225214,reg,False,FB
2017-02-20,133.500000,135.440000,136.790000,132.900000,73167492,reg,False,FB
2017-02-27,135.260000,137.170000,137.820000,134.750000,70131137,reg,False,FB
2017-03-06,136.800000,138.790000,139.490000,136.510000,68309197,reg,False,FB
2017-03-13,138.710000,139.840000,140.340000,138.490000,77450054,reg,False,FB
